playlist_id,title,permalink,permalink_url,created_at,last_modified,description,track_count,tracks_id,duration,embeddable_by,genre,likes_count,user_id,license,reposts_count,sharing,tag_list,label_name,managed_by_feeds,public,purchase_title,purchase_url,release_date,secret_token,set_type,uri,artwork_url,is_album,published_at,display_date
786058716,Out Of Love,out-of-love-2,https://soundcloud.com/hokyqum5/sets/out-of-love-2,2019-05-22T11:25:55Z,2019-05-22T11:25:55Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786058716,,FALSE,2019-05-22T11:25:55Z,2019-05-22T11:25:55Z
786058311,Khalid & Normani,khalid-normani,https://soundcloud.com/hokyqum5/sets/khalid-normani,2019-05-22T11:25:09Z,2019-05-22T11:25:09Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786058311,,FALSE,2019-05-22T11:25:09Z,2019-05-22T11:25:09Z
786058215,Love Lies,love-lies,https://soundcloud.com/hokyqum5/sets/love-lies,2019-05-22T11:25:01Z,2019-05-22T11:25:01Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786058215,,FALSE,2019-05-22T11:25:01Z,2019-05-22T11:25:01Z
786057567,Khalid talk,khalid-talk,https://soundcloud.com/hokyqum5/sets/khalid-talk,2019-05-22T11:24:10Z,2019-05-22T11:24:10Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786057567,,FALSE,2019-05-22T11:24:10Z,2019-05-22T11:24:10Z
786057138,Talk,talk-2,https://soundcloud.com/hokyqum5/sets/talk-2,2019-05-22T11:23:29Z,2019-05-22T11:23:29Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786057138,,FALSE,2019-05-22T11:23:29Z,2019-05-22T11:23:29Z
786056760,5 seconds of summer youngblood,5-seconds-of-summer-youngblood,https://soundcloud.com/hokyqum5/sets/5-seconds-of-summer-youngblood,2019-05-22T11:22:51Z,2019-05-22T11:22:51Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786056760,,FALSE,2019-05-22T11:22:51Z,2019-05-22T11:22:51Z
786056637,5 seconds of summer,5-seconds-of-summer-2,https://soundcloud.com/hokyqum5/sets/5-seconds-of-summer-2,2019-05-22T11:22:42Z,2019-05-22T11:22:42Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786056637,,FALSE,2019-05-22T11:22:42Z,2019-05-22T11:22:42Z
786056526,Youngblood,youngblood-2,https://soundcloud.com/hokyqum5/sets/youngblood-2,2019-05-22T11:22:32Z,2019-05-22T11:22:32Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786056526,,FALSE,2019-05-22T11:22:32Z,2019-05-22T11:22:32Z
786054372,I’m so Tired,im-so-tired-1,https://soundcloud.com/hokyqum5/sets/im-so-tired-1,2019-05-22T11:19:37Z,2019-05-22T11:19:37Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786054372,,FALSE,2019-05-22T11:19:37Z,2019-05-22T11:19:37Z
786052608,Panic! At The Disco,panic-at-the-disco-7,https://soundcloud.com/hokyqum5/sets/panic-at-the-disco-7,2019-05-22T11:17:11Z,2019-05-22T11:17:11Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786052608,,FALSE,2019-05-22T11:17:11Z,2019-05-22T11:17:11Z
786052026,Billie Eillish When the party’s Over,billie-eillish-when-the-partys,https://soundcloud.com/hokyqum5/sets/billie-eillish-when-the-partys,2019-05-22T11:16:21Z,2019-05-22T11:16:21Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786052026,,FALSE,2019-05-22T11:16:21Z,2019-05-22T11:16:21Z
786051912,Billie Eillish,billie-eillish,https://soundcloud.com/hokyqum5/sets/billie-eillish,2019-05-22T11:16:11Z,2019-05-22T11:16:11Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786051912,,FALSE,2019-05-22T11:16:11Z,2019-05-22T11:16:11Z
786051366,Marshmello & bastille Happier,marshmello-bastille-happier,https://soundcloud.com/hokyqum5/sets/marshmello-bastille-happier,2019-05-22T11:15:20Z,2019-05-22T11:15:20Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786051366,,FALSE,2019-05-22T11:15:20Z,2019-05-22T11:15:20Z
786049284,Bebe Rexha,bebe-rexha-2,https://soundcloud.com/hokyqum5/sets/bebe-rexha-2,2019-05-22T11:12:24Z,2019-05-22T11:12:24Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786049284,,FALSE,2019-05-22T11:12:24Z,2019-05-22T11:12:24Z
786048156,"Ariana Grande Thank U, Next",ariana-grande-thank-u-next,https://soundcloud.com/hokyqum5/sets/ariana-grande-thank-u-next,2019-05-22T11:10:45Z,2019-05-22T11:10:45Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786048156,,FALSE,2019-05-22T11:10:45Z,2019-05-22T11:10:45Z
786047808,Ariana Grande,ariana-grande-8,https://soundcloud.com/hokyqum5/sets/ariana-grande-8,2019-05-22T11:10:14Z,2019-05-22T11:10:14Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786047808,,FALSE,2019-05-22T11:10:14Z,2019-05-22T11:10:14Z
786046929,"Thank U, Next",thank-u-next-1,https://soundcloud.com/hokyqum5/sets/thank-u-next-1,2019-05-22T11:09:13Z,2019-05-22T11:09:13Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786046929,,FALSE,2019-05-22T11:09:13Z,2019-05-22T11:09:13Z
786046515,Lady Gaga & Bradley Cooper Shallow,lady-gaga-bradley-cooper-1,https://soundcloud.com/hokyqum5/sets/lady-gaga-bradley-cooper-1,2019-05-22T11:08:45Z,2019-05-22T11:08:45Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786046515,,FALSE,2019-05-22T11:08:45Z,2019-05-22T11:08:45Z
786046068,Lady Gaga & Bradley Cooper,lady-gaga-bradley-cooper,https://soundcloud.com/hokyqum5/sets/lady-gaga-bradley-cooper,2019-05-22T11:08:08Z,2019-05-22T11:08:08Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786046068,,FALSE,2019-05-22T11:08:08Z,2019-05-22T11:08:08Z
786045504,Shallow,shallow,https://soundcloud.com/hokyqum5/sets/shallow,2019-05-22T11:07:14Z,2019-05-22T11:07:14Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786045504,,FALSE,2019-05-22T11:07:14Z,2019-05-22T11:07:14Z
786044967,Jonas Brothers cool,jonas-brothers-cool,https://soundcloud.com/hokyqum5/sets/jonas-brothers-cool,2019-05-22T11:06:23Z,2019-05-22T11:06:23Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786044967,,FALSE,2019-05-22T11:06:23Z,2019-05-22T11:06:23Z
786044193,cool,cool-2,https://soundcloud.com/hokyqum5/sets/cool-2,2019-05-22T11:05:14Z,2019-05-22T11:05:14Z,None,0,None,0,all,None,0,541866936,all-rights-reserved,0,public,None,None,FALSE,TRUE,None,None,None,None,None,https://api.soundcloud.com/playlists/786044193,,FALSE,2019-05-22T11:05:14Z,2019-05-22T11:05:14Z
